epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,10137,1.2785,1.17563,0.98257,0.34857,0.35106,0.29401,0.15238,2.38458,2.25328,1.84146,0.00062875,0.00062875,0.00062875
77,10270.5,1.29125,1.19103,0.98126,0.3333,0.31206,0.28412,0.15987,2.34865,2.06706,1.77795,0.0006238,0.0006238,0.0006238
78,10404,1.27344,1.08627,0.96201,0.31083,0.39024,0.29612,0.16162,2.37002,2.04966,1.77917,0.00061885,0.00061885,0.00061885
79,10537.5,1.2448,1.08581,0.96954,0.38515,0.3156,0.30144,0.16279,2.4246,2.00832,1.84706,0.0006139,0.0006139,0.0006139
80,10670.9,1.22499,1.11073,0.97806,0.28615,0.32979,0.27141,0.15795,2.38959,1.9435,1.76061,0.00060895,0.00060895,0.00060895
81,10804.5,1.24231,1.05879,0.96604,0.24374,0.30496,0.25319,0.13821,2.29299,2.12944,1.66102,0.000604,0.000604,0.000604
82,10937.9,1.24791,1.09682,0.97315,0.37603,0.3227,0.31587,0.18859,2.24928,1.90965,1.71007,0.00059905,0.00059905,0.00059905
83,11071.4,1.21656,1.0563,0.94923,0.30045,0.19858,0.19486,0.10449,2.45019,2.47131,1.80248,0.0005941,0.0005941,0.0005941
84,11204.9,1.24605,1.03438,0.96187,0.30125,0.31206,0.28261,0.14353,2.36418,2.02206,1.77116,0.00058915,0.00058915,0.00058915
85,11338.4,1.24676,1.04463,0.96756,0.33627,0.33333,0.29181,0.14444,2.33422,2.16467,1.73992,0.0005842,0.0005842,0.0005842
86,11472,1.22816,1.04197,0.96412,0.40187,0.30496,0.33167,0.19579,2.3326,1.87437,1.763,0.00057925,0.00057925,0.00057925
87,11605.4,1.23073,1.1145,0.95123,0.38342,0.3227,0.32179,0.18623,2.33961,1.99645,1.7512,0.0005743,0.0005743,0.0005743
88,11738.9,1.21023,1.08017,0.95161,0.42975,0.36879,0.38463,0.22133,2.34407,1.83749,1.76126,0.00056935,0.00056935,0.00056935
89,11872.3,1.1977,1.0623,0.96276,0.33962,0.31915,0.29437,0.15976,2.41535,1.90243,1.82048,0.0005644,0.0005644,0.0005644
90,12005.9,1.1846,0.99537,0.96104,0.31724,0.2766,0.28946,0.1571,2.49096,2.00475,1.80973,0.00055945,0.00055945,0.00055945
91,12139.3,1.19829,1.00627,0.96502,0.41498,0.29433,0.31828,0.16146,2.35138,1.88447,1.77913,0.0005545,0.0005545,0.0005545
92,12272.8,1.20239,1.07161,0.96743,0.46415,0.35106,0.36548,0.19146,2.34623,1.85827,1.7694,0.00054955,0.00054955,0.00054955
93,12406.3,1.18172,0.97601,0.95518,0.54081,0.32576,0.38253,0.21302,2.37981,1.85263,1.82201,0.0005446,0.0005446,0.0005446
94,12539.8,1.1929,1.0137,0.9501,0.36732,0.29433,0.28337,0.15046,2.33788,2.59853,1.78497,0.00053965,0.00053965,0.00053965
95,12673.2,1.1692,1.00642,0.94666,0.38889,0.3227,0.33639,0.19629,2.42921,1.93147,1.81948,0.0005347,0.0005347,0.0005347
96,12806.7,1.19453,0.99193,0.95637,0.45525,0.25532,0.30819,0.17318,2.40609,2.03805,1.78474,0.00052975,0.00052975,0.00052975
97,12940.2,1.16398,1.02015,0.97044,0.28698,0.34397,0.29381,0.16752,2.33166,1.99344,1.75464,0.0005248,0.0005248,0.0005248
98,13073.6,1.14603,0.96733,0.94374,0.36154,0.33333,0.32227,0.18972,2.3678,1.95036,1.76743,0.00051985,0.00051985,0.00051985
99,13207.1,1.19835,1.00517,0.95792,0.37595,0.2234,0.24588,0.13903,2.45132,2.05783,1.81526,0.0005149,0.0005149,0.0005149
100,13340.5,1.1865,0.97017,0.95789,0.41025,0.25532,0.27886,0.15666,2.32025,1.99242,1.76321,0.00050995,0.00050995,0.00050995
101,13474,1.13362,0.94065,0.9365,0.47514,0.30496,0.36985,0.22718,2.3806,2.08302,1.75973,0.000505,0.000505,0.000505
102,13607.5,1.15655,0.96744,0.96539,0.34191,0.32979,0.31328,0.17862,2.37828,1.99973,1.79463,0.00050005,0.00050005,0.00050005
103,13740.9,1.10907,0.95934,0.94138,0.38785,0.29433,0.31354,0.18733,2.35264,1.94417,1.79668,0.0004951,0.0004951,0.0004951
104,13874.4,1.173,0.94185,0.94879,0.31879,0.33688,0.31084,0.17464,2.30561,1.95241,1.79436,0.00049015,0.00049015,0.00049015
105,14007.9,1.13038,0.92081,0.93624,0.30201,0.31915,0.26863,0.15284,2.3825,2.15524,1.82042,0.0004852,0.0004852,0.0004852
106,14141.3,1.12138,0.93741,0.9229,0.39485,0.32624,0.3552,0.20872,2.34826,1.8018,1.74745,0.00048025,0.00048025,0.00048025
107,14274.8,1.13496,0.92106,0.94604,0.33333,0.37943,0.32816,0.17715,2.33444,1.87323,1.72877,0.0004753,0.0004753,0.0004753
108,14408.3,1.12376,0.93891,0.94257,0.38472,0.30851,0.31485,0.17208,2.38747,2.05592,1.83833,0.00047035,0.00047035,0.00047035
109,14541.8,1.15247,0.93865,0.9366,0.33123,0.35829,0.31926,0.18713,2.40188,1.89155,1.84471,0.0004654,0.0004654,0.0004654
110,14675.3,1.16711,0.97114,0.94436,0.42622,0.3227,0.3304,0.18239,2.24895,2.08138,1.67936,0.00046045,0.00046045,0.00046045
111,14808.7,1.10743,0.93373,0.93613,0.40083,0.34397,0.35473,0.21123,2.37586,1.93899,1.77022,0.0004555,0.0004555,0.0004555
112,14942.2,1.1419,0.9823,0.94925,0.40955,0.20922,0.23154,0.12974,2.32002,2.82214,1.70842,0.00045055,0.00045055,0.00045055
113,15075.7,1.11942,0.95122,0.93898,0.33234,0.34043,0.30668,0.18139,2.31593,1.96264,1.73399,0.0004456,0.0004456,0.0004456
114,15209.2,1.08587,0.9248,0.92415,0.35871,0.31206,0.28682,0.15655,2.36322,1.96722,1.82234,0.00044065,0.00044065,0.00044065
115,15342.6,1.08766,0.90773,0.90958,0.36017,0.28545,0.29201,0.17108,2.33811,1.94747,1.77175,0.0004357,0.0004357,0.0004357
116,15476,1.08047,0.871,0.93828,0.3563,0.31013,0.293,0.16845,2.35642,1.95587,1.77399,0.00043075,0.00043075,0.00043075
117,15609.5,1.13792,0.90571,0.94884,0.32512,0.35362,0.30735,0.17871,2.42536,2.00073,1.84808,0.0004258,0.0004258,0.0004258
118,15743,1.09047,0.86848,0.93257,0.32542,0.2766,0.24478,0.13675,2.47957,2.02872,1.89565,0.00042085,0.00042085,0.00042085
119,15876.6,1.0994,0.87301,0.94241,0.28956,0.3156,0.25845,0.15439,2.42666,2.0428,1.84912,0.0004159,0.0004159,0.0004159
120,16010.1,1.09612,0.8586,0.93569,0.34765,0.31915,0.30363,0.1817,2.40303,1.96664,1.82591,0.00041095,0.00041095,0.00041095
121,16143.6,1.09805,0.85753,0.933,0.37547,0.29433,0.27783,0.1617,2.46013,2.00034,1.89763,0.000406,0.000406,0.000406
122,16277.1,1.09159,0.90084,0.92686,0.37249,0.33048,0.32991,0.19379,2.35523,1.9401,1.77747,0.00040105,0.00040105,0.00040105
123,16410.6,1.07645,0.84965,0.92315,0.35547,0.3227,0.32285,0.19987,2.38295,1.95719,1.78917,0.0003961,0.0003961,0.0003961
124,16544.1,1.06609,0.84253,0.91655,0.32056,0.32624,0.29381,0.17005,2.42484,2.01769,1.84923,0.00039115,0.00039115,0.00039115
125,16677.7,1.08668,0.82359,0.9287,0.37559,0.28369,0.31747,0.19509,2.39914,1.9349,1.8285,0.0003862,0.0003862,0.0003862
126,16811.2,1.04559,0.83801,0.92459,0.33974,0.25532,0.27619,0.16645,2.47032,2.03417,1.82988,0.00038125,0.00038125,0.00038125
127,16944.7,1.08444,0.88176,0.93804,0.32883,0.25887,0.28735,0.16906,2.49631,2.03229,1.85213,0.0003763,0.0003763,0.0003763
128,17078.2,1.04688,0.83216,0.9271,0.36587,0.35106,0.34274,0.20019,2.43554,1.9439,1.85591,0.00037135,0.00037135,0.00037135
129,17211.7,1.04785,0.83847,0.91778,0.40306,0.28014,0.35561,0.23218,2.38696,1.96562,1.72923,0.0003664,0.0003664,0.0003664
130,17345.2,1.06767,0.80455,0.91502,0.38534,0.19858,0.23805,0.15137,2.45661,2.24432,1.82268,0.00036145,0.00036145,0.00036145
131,17478.7,1.03897,0.80845,0.90894,0.37026,0.25532,0.27702,0.16911,2.38885,2.04147,1.81555,0.0003565,0.0003565,0.0003565
132,17612.2,1.02293,0.80563,0.919,0.35572,0.26241,0.28256,0.16665,2.39333,2.02044,1.81939,0.00035155,0.00035155,0.00035155
133,17745.7,1.03422,0.76923,0.91625,0.2483,0.29433,0.22455,0.13267,2.45824,2.3372,1.90525,0.0003466,0.0003466,0.0003466
134,17879.2,1.05106,0.8417,0.92598,0.27241,0.28014,0.25019,0.15282,2.39709,2.08668,1.84765,0.00034165,0.00034165,0.00034165
135,18012.7,1.05391,0.81203,0.91836,0.41783,0.20213,0.24424,0.15052,2.46799,2.16711,1.85717,0.0003367,0.0003367,0.0003367
136,18146.2,1.02576,0.79523,0.91155,0.3,0.31915,0.29103,0.17138,2.46785,2.03557,1.85962,0.00033175,0.00033175,0.00033175
137,18279.7,1.05754,0.83465,0.93712,0.45864,0.2695,0.32571,0.19966,2.41476,1.92361,1.84216,0.0003268,0.0003268,0.0003268
138,18413.2,1.02544,0.79979,0.91195,0.27782,0.29433,0.24212,0.14024,2.37504,2.11158,1.82162,0.00032185,0.00032185,0.00032185
139,18546.6,1.01141,0.77643,0.91263,0.41315,0.31206,0.33491,0.2039,2.4015,1.93289,1.8465,0.0003169,0.0003169,0.0003169
140,18680.1,0.98504,0.75839,0.90094,0.45098,0.32624,0.37391,0.22934,2.40809,1.90905,1.82237,0.00031195,0.00031195,0.00031195
141,18813.6,1.00799,0.78418,0.91004,0.33858,0.31915,0.30935,0.18526,2.34911,1.94384,1.75778,0.000307,0.000307,0.000307
142,18947.2,1.00532,0.80909,0.92347,0.35804,0.37943,0.34608,0.20466,2.36938,1.88896,1.80258,0.00030205,0.00030205,0.00030205
143,19080.7,0.99938,0.74907,0.90656,0.4475,0.21829,0.27233,0.16505,2.43663,2.31466,1.84325,0.0002971,0.0002971,0.0002971
144,19214.1,0.96089,0.73637,0.90559,0.3525,0.29078,0.28838,0.16861,2.47354,2.10214,1.87796,0.00029215,0.00029215,0.00029215
145,19347.6,0.98862,0.73542,0.92063,0.41885,0.28369,0.35005,0.22504,2.5254,1.98379,1.90492,0.0002872,0.0002872,0.0002872
146,19481.1,1.01362,0.76817,0.91709,0.35808,0.29078,0.31245,0.19531,2.43264,1.91683,1.84356,0.00028225,0.00028225,0.00028225
147,19614.7,0.96986,0.76469,0.90859,0.35371,0.28723,0.30962,0.18748,2.4037,1.93499,1.83099,0.0002773,0.0002773,0.0002773
148,19748.1,0.98095,0.7267,0.90058,0.40941,0.25887,0.3131,0.19792,2.44899,1.90586,1.82343,0.00027235,0.00027235,0.00027235
149,19881.6,0.97554,0.74374,0.89684,0.40823,0.25887,0.2828,0.16854,2.35018,2.01841,1.80273,0.0002674,0.0002674,0.0002674
150,20015.1,0.97942,0.73076,0.91001,0.39583,0.2695,0.32245,0.19684,2.37733,1.95904,1.78772,0.00026245,0.00026245,0.00026245
151,20148.6,1.00193,0.78277,0.90957,0.46296,0.26596,0.3554,0.23082,2.3383,2.21986,1.74391,0.0002575,0.0002575,0.0002575
152,20282.1,0.99928,0.75788,0.91015,0.35192,0.25177,0.27081,0.17014,2.42326,2.18612,1.80438,0.00025255,0.00025255,0.00025255
153,20415.6,1.00226,0.76769,0.90999,0.31429,0.27305,0.278,0.16492,2.41332,2.08433,1.82255,0.0002476,0.0002476,0.0002476
154,20549.1,0.95559,0.71557,0.89605,0.37321,0.2766,0.31608,0.20094,2.33653,2.09602,1.80306,0.00024265,0.00024265,0.00024265
155,20682.6,0.94481,0.71721,0.90506,0.35885,0.26596,0.30006,0.19136,2.39337,2.07127,1.82299,0.0002377,0.0002377,0.0002377
156,20816.1,0.98845,0.74824,0.90517,0.33333,0.28014,0.29213,0.17893,2.40058,2.04994,1.8018,0.00023275,0.00023275,0.00023275
