epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,638.061,1.2215,1.00313,0.95357,0.29509,0.26493,0.19061,0.08373,2.5709,2.63423,2.01642,0.001043,0.001043,0.001043
60,649.415,1.23356,0.97977,0.93914,0.21185,0.23894,0.15535,0.07409,2.60505,2.50551,2.13778,0.0010265,0.0010265,0.0010265
61,661.573,1.29554,1.02957,0.95263,0.22769,0.25604,0.16758,0.0792,2.56065,3.03233,2.07143,0.00101,0.00101,0.00101
62,672.34,1.21575,1.00007,0.94993,0.23254,0.21739,0.13829,0.06378,2.66141,2.63245,2.18864,0.0009935,0.0009935,0.0009935
63,683.445,1.28081,1.03635,0.97369,0.24025,0.22705,0.1422,0.06182,2.55616,3.19075,2.05043,0.000977,0.000977,0.000977
64,694.603,1.25973,1.00204,0.94491,0.2711,0.26087,0.13279,0.05944,2.58547,3.01491,2.07621,0.0009605,0.0009605,0.0009605
65,706.096,1.19022,0.96053,0.92053,0.29964,0.21739,0.14938,0.07215,2.63431,2.65255,2.13978,0.000944,0.000944,0.000944
66,717.57,1.23337,0.97365,0.93821,0.16749,0.19807,0.09747,0.04491,2.67545,3.64399,2.18828,0.0009275,0.0009275,0.0009275
67,728.956,1.21165,0.96302,0.9278,0.28961,0.22705,0.15832,0.08035,2.63767,2.49467,2.16621,0.000911,0.000911,0.000911
68,740.304,1.18886,0.94373,0.92676,0.27858,0.27536,0.17631,0.0859,2.59312,2.7212,2.09643,0.0008945,0.0008945,0.0008945
69,751.432,1.19306,0.95268,0.92936,0.23807,0.22705,0.14253,0.07487,2.68728,2.69014,2.19117,0.000878,0.000878,0.000878
70,762.789,1.20136,0.94446,0.94071,0.23269,0.21256,0.13028,0.06815,2.57844,3.26443,2.08938,0.0008615,0.0008615,0.0008615
71,773.764,1.21815,0.97788,0.94753,0.25351,0.23671,0.15821,0.07768,2.59643,2.499,2.09808,0.000845,0.000845,0.000845
72,783.775,1.2033,0.93216,0.94507,0.18734,0.21739,0.11148,0.05336,2.6409,3.10199,2.1812,0.0008285,0.0008285,0.0008285
73,794.033,1.15416,0.91297,0.92295,0.20394,0.22705,0.12471,0.05696,2.71515,2.44702,2.26758,0.000812,0.000812,0.000812
74,804.467,1.2032,0.96629,0.94868,0.25637,0.29147,0.15494,0.06846,2.51857,3.27798,2.02797,0.0007955,0.0007955,0.0007955
75,814.619,1.1605,0.92785,0.94753,0.23589,0.28019,0.13875,0.06636,2.62186,2.55123,2.19355,0.000779,0.000779,0.000779
76,824.75,1.16517,0.90903,0.92349,0.31197,0.21256,0.132,0.055,2.68722,2.59971,2.20834,0.0007625,0.0007625,0.0007625
77,834.945,1.13211,0.89778,0.94345,0.22882,0.26087,0.14137,0.06723,2.56188,2.70644,2.05745,0.000746,0.000746,0.000746
78,844.882,1.17772,0.91988,0.94926,0.28749,0.24155,0.15711,0.07919,2.59967,2.75517,2.10597,0.0007295,0.0007295,0.0007295
79,854.84,1.17277,0.89935,0.93842,0.27858,0.23671,0.15186,0.06895,2.64839,2.89093,2.22272,0.000713,0.000713,0.000713
80,864.793,1.11303,0.83813,0.90072,0.29063,0.23188,0.14005,0.06604,2.751,2.88042,2.34057,0.0006965,0.0006965,0.0006965
81,874.757,1.14924,0.85771,0.92499,0.22566,0.21739,0.12181,0.05328,2.69005,2.59327,2.3198,0.00068,0.00068,0.00068
82,884.681,1.11955,0.84772,0.91129,0.29538,0.18841,0.14049,0.06122,2.73795,2.42695,2.31783,0.0006635,0.0006635,0.0006635
