name_file,real_eggs_images,counted_eggs_image,model_name,total_time,image_name,timestamp
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,32,25,best-train2.pt,37.816598,paleta-7-32.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,139,158,best-train2.pt,38.553461,paleta-8-139.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,146,182,best-train2.pt,40.89775,paleta-8-146.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,15,24,best-train2.pt,38.652051,paleta-8-15.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,25,30,best-train2.pt,48.046624,paleta-8-25.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,12,21,best-train2.pt,44.612149,paleta-9-12.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,137,316,best-train2.pt,44.643611,paleta-9-137.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,60,52,best-train2.pt,44.377566,paleta-9-60.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-4,41,55,best-train2.pt,39.656212,paleta-1-41.png,2025-03-26 21:52:41
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-4,60,54,best-train2.pt,35.702344,paleta-2-60.png,2025-03-26 21:52:41
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-4,18,74,best-train2.pt,35.671433,paleta-3-18.png,2025-03-26 21:52:41
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-4,20,21,best-train2.pt,33.463907,paleta-4-20.png,2025-03-26 21:52:41
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-4,108,89,best-train2.pt,44.061106,paleta-43-108.jpg,2025-03-26 21:52:41
